image_id,filename,identity_check,identity_notes,clothing_check,clothing_notes,political_check,political_notes,learning_purpose_check,learning_notes
AEW2_U009_IMG01,AEW2_U009_IMG01_cover_snack_time.png,pass,matches Unit 9 snack learning purpose,pass,prompt lock: no denim/short skirt/loose trousers,pass,no political imagery in prompt/control notes,pass,supports Unit identity; snack words; polite choice
AEW2_U009_IMG02,AEW2_U009_IMG02_unit_story_snack_choice_scene.png,pass,matches Unit 9 snack learning purpose,pass,prompt lock: no denim/short skirt/loose trousers,pass,no political imagery in prompt/control notes,pass,supports Unit story; polite snack choices
AEW2_U009_IMG03,AEW2_U009_IMG03_lesson1_meet_the_snacks.png,pass,matches Unit 9 snack learning purpose,pass,prompt lock: no denim/short skirt/loose trousers,pass,no political imagery in prompt/control notes,pass,supports Snack vocabulary
AEW2_U009_IMG04,AEW2_U009_IMG04_lesson1_snack_tray_visual.png,pass,matches Unit 9 snack learning purpose,pass,prompt lock: no denim/short skirt/loose trousers,pass,no political imagery in prompt/control notes,pass,supports Snack vocabulary support
AEW2_U009_IMG05,AEW2_U009_IMG05_lesson2_i_want_apple_scene.png,pass,matches Unit 9 snack learning purpose,pass,prompt lock: no denim/short skirt/loose trousers,pass,no political imagery in prompt/control notes,pass,supports I want ... chunk; snack choice
AEW2_U009_IMG06,AEW2_U009_IMG06_lesson2_snack_choice_visual.png,pass,matches Unit 9 snack learning purpose,pass,prompt lock: no denim/short skirt/loose trousers,pass,no political imagery in prompt/control notes,pass,supports Snack choice; I want ...
AEW2_U009_IMG07,AEW2_U009_IMG07_lesson3_please_scene.png,pass,matches Unit 9 snack learning purpose,pass,prompt lock: no denim/short skirt/loose trousers,pass,no political imagery in prompt/control notes,pass,supports Polite asking; please
AEW2_U009_IMG08,AEW2_U009_IMG08_lesson3_polite_snack_counter.png,pass,matches Unit 9 snack learning purpose,pass,prompt lock: no denim/short skirt/loose trousers,pass,no political imagery in prompt/control notes,pass,"supports I want ..., please; helper role"
AEW2_U009_IMG09,AEW2_U009_IMG09_lesson4_a_an_snack_scene.png,pass,matches Unit 9 snack learning purpose,pass,prompt lock: no denim/short skirt/loose trousers,pass,no political imagery in prompt/control notes,pass,supports a/an fixed chunk noticing
AEW2_U009_IMG10,AEW2_U009_IMG10_lesson4_a_an_food_basket_visual.png,pass,matches Unit 9 snack learning purpose,pass,prompt lock: no denim/short skirt/loose trousers,pass,no political imagery in prompt/control notes,pass,supports a/an fixed chunk noticing
AEW2_U009_IMG11,AEW2_U009_IMG11_lesson5_drinks_scene.png,pass,matches Unit 9 snack learning purpose,pass,prompt lock: no denim/short skirt/loose trousers,pass,no political imagery in prompt/control notes,pass,supports Drink vocabulary; choice
AEW2_U009_IMG12,AEW2_U009_IMG12_lesson5_snack_drink_choice_scene.png,pass,matches Unit 9 snack learning purpose,pass,prompt lock: no denim/short skirt/loose trousers,pass,no political imagery in prompt/control notes,pass,supports Snack + drink choice; I want ... please
AEW2_U009_IMG13,AEW2_U009_IMG13_lesson6_snack_order_roleplay_scene.png,pass,matches Unit 9 snack learning purpose,pass,prompt lock: no denim/short skirt/loose trousers,pass,no political imagery in prompt/control notes,pass,"supports Role-play; I want ..., please"
AEW2_U009_IMG14,AEW2_U009_IMG14_lesson6_order_tray_visual.png,pass,matches Unit 9 snack learning purpose,pass,prompt lock: no denim/short skirt/loose trousers,pass,no political imagery in prompt/control notes,pass,supports Snack order; snack + drink
AEW2_U009_IMG15,AEW2_U009_IMG15_lesson6_snack_review_scene.png,pass,matches Unit 9 snack learning purpose,pass,prompt lock: no denim/short skirt/loose trousers,pass,no political imagery in prompt/control notes,pass,supports Review snack/drink words; polite choices
AEW2_U009_IMG16,AEW2_U009_IMG16_lesson7_project_rehearsal_scene.png,pass,matches Unit 9 snack learning purpose,pass,prompt lock: no denim/short skirt/loose trousers,pass,no political imagery in prompt/control notes,pass,supports Project rehearsal; snack order role-play
AEW2_U009_IMG17,AEW2_U009_IMG17_lesson7_project_model_snack_order_card.png,pass,matches Unit 9 snack learning purpose,pass,prompt lock: no denim/short skirt/loose trousers,pass,no political imagery in prompt/control notes,pass,supports Project model; snack order card
AEW2_U009_IMG18,AEW2_U009_IMG18_repair_a_an_visual.png,pass,matches Unit 9 snack learning purpose,pass,prompt lock: no denim/short skirt/loose trousers,pass,no political imagery in prompt/control notes,pass,supports Repair fixed chunks: a/an
AEW2_U009_IMG19,AEW2_U009_IMG19_repair_i_want_please_visual.png,pass,matches Unit 9 snack learning purpose,pass,prompt lock: no denim/short skirt/loose trousers,pass,no political imagery in prompt/control notes,pass,"supports Repair polite chunk: I want ..., please"
AEW2_U009_IMG20,AEW2_U009_IMG20_project_sharing_scene.png,pass,matches Unit 9 snack learning purpose,pass,prompt lock: no denim/short skirt/loose trousers,pass,no political imagery in prompt/control notes,pass,supports Final project; snack order role-play sharing
