audio_key,title,text,spoken_text,voice,file
"overview","Question","How many?","How many?","en-US-AnaNeural","assets/audio/U3-OVERVIEW-HOW-MANY.mp3"
"01-STORY whole","Story","Toto runs to the trail. | Leo smiles. ""Hello, Toto!"" | Toto sees number signs. | Leo says, ""Look! 0, 1, 2, 3, 4, 5."" | Toto sees one star. | Toto sees two flowers. | Leo says, ""Let's count!""","Toto runs to the trail. | Leo smiles. ""Hello, Toto!"" | Toto sees number signs. | Leo says, ""Look! 0, 1, 2, 3, 4, 5."" | Toto sees one star. | Toto sees two flowers. | Leo says, ""Let's count!""","section voices","assets/audio/U3-01-STORY-WHOLE-STORY.mp3"
"01-STORY line","Story","Toto runs to the trail.","Toto runs to the trail.","en-GB-MaisieNeural","assets/audio/U3-01-STORY-LINE-01-TOTO-RUNS-TO-THE-TRAIL.mp3"
"01-STORY line","Story","Leo smiles. ""Hello, Toto!""","Leo smiles. ""Hello, Toto!""","en-GB-MaisieNeural","assets/audio/U3-01-STORY-LINE-02-LEO-SMILES-HELLO-TOTO.mp3"
"01-STORY line","Story","Toto sees number signs.","Toto sees number signs.","en-GB-MaisieNeural","assets/audio/U3-01-STORY-LINE-03-TOTO-SEES-NUMBER-SIGNS.mp3"
"01-STORY line","Story","Leo says, ""Look! 0, 1, 2, 3, 4, 5.""","Leo says, ""Look! 0, 1, 2, 3, 4, 5.""","en-GB-MaisieNeural","assets/audio/U3-01-STORY-LINE-04-LEO-SAYS-LOOK-0-1-2-3-4-5.mp3"
"01-STORY line","Story","Toto sees one star.","Toto sees one star.","en-GB-MaisieNeural","assets/audio/U3-01-STORY-LINE-05-TOTO-SEES-ONE-STAR.mp3"
"01-STORY line","Story","Toto sees two flowers.","Toto sees two flowers.","en-GB-MaisieNeural","assets/audio/U3-01-STORY-LINE-06-TOTO-SEES-TWO-FLOWERS.mp3"
"01-STORY line","Story","Leo says, ""Let's count!""","Leo says, ""Let's count!""","en-GB-MaisieNeural","assets/audio/U3-01-STORY-LINE-07-LEO-SAYS-LET-S-COUNT.mp3"
"02-LISTEN whole","Listen","0 — zero | 1 — one | 2 — two | 3 — three | 4 — four | 5 — five","zero | one | two | three | four | five","section voices","assets/audio/U3-02-LISTEN-WHOLE-LISTEN.mp3"
"02-LISTEN line","Listen","0 — zero","zero","en-US-AnaNeural","assets/audio/U3-02-LISTEN-LINE-01-0-ZERO.mp3"
"02-LISTEN line","Listen","1 — one","one","en-US-AnaNeural","assets/audio/U3-02-LISTEN-LINE-02-1-ONE.mp3"
"02-LISTEN line","Listen","2 — two","two","en-US-AnaNeural","assets/audio/U3-02-LISTEN-LINE-03-2-TWO.mp3"
"02-LISTEN line","Listen","3 — three","three","en-US-AnaNeural","assets/audio/U3-02-LISTEN-LINE-04-3-THREE.mp3"
"02-LISTEN line","Listen","4 — four","four","en-US-AnaNeural","assets/audio/U3-02-LISTEN-LINE-05-4-FOUR.mp3"
"02-LISTEN line","Listen","5 — five","five","en-US-AnaNeural","assets/audio/U3-02-LISTEN-LINE-06-5-FIVE.mp3"
"03-SAY whole","Say","How many? | One star. | Two flowers. | Three balls. | Four leaves. | Five apples.","How many? | One star. | Two flowers. | Three balls. | Four leaves. | Five apples.","section voices","assets/audio/U3-03-SAY-WHOLE-SAY.mp3"
"03-SAY line","Say","How many?","How many?","en-US-AnaNeural","assets/audio/U3-03-SAY-LINE-01-HOW-MANY.mp3"
"03-SAY line","Say","One star.","One star.","en-US-AnaNeural","assets/audio/U3-03-SAY-LINE-02-ONE-STAR.mp3"
"03-SAY line","Say","Two flowers.","Two flowers.","en-US-AnaNeural","assets/audio/U3-03-SAY-LINE-03-TWO-FLOWERS.mp3"
"03-SAY line","Say","Three balls.","Three balls.","en-US-AnaNeural","assets/audio/U3-03-SAY-LINE-04-THREE-BALLS.mp3"
"03-SAY line","Say","Four leaves.","Four leaves.","en-US-AnaNeural","assets/audio/U3-03-SAY-LINE-05-FOUR-LEAVES.mp3"
"03-SAY line","Say","Five apples.","Five apples.","en-US-AnaNeural","assets/audio/U3-03-SAY-LINE-06-FIVE-APPLES.mp3"
"04-STORY whole","Story","Emma and Toto walk on the trail. | Emma points. ""Look! More signs!"" | Toto sees 6, 7, 8, 9, and 10. | Emma counts flowers. | Toto counts stars. | Emma says, ""Good counting, Toto!""","Emma and Toto walk on the trail. | Emma points. ""Look! More signs!"" | Toto sees 6, 7, 8, 9, and 10. | Emma counts flowers. | Toto counts stars. | Emma says, ""Good counting, Toto!""","section voices","assets/audio/U3-04-STORY-WHOLE-STORY.mp3"
"04-STORY line","Story","Emma and Toto walk on the trail.","Emma and Toto walk on the trail.","en-GB-MaisieNeural","assets/audio/U3-04-STORY-LINE-01-EMMA-AND-TOTO-WALK-ON-THE-TRAIL.mp3"
"04-STORY line","Story","Emma points. ""Look! More signs!""","Emma points. ""Look! More signs!""","en-GB-MaisieNeural","assets/audio/U3-04-STORY-LINE-02-EMMA-POINTS-LOOK-MORE-SIGNS.mp3"
"04-STORY line","Story","Toto sees 6, 7, 8, 9, and 10.","Toto sees 6, 7, 8, 9, and 10.","en-GB-MaisieNeural","assets/audio/U3-04-STORY-LINE-03-TOTO-SEES-6-7-8-9-AND-10.mp3"
"04-STORY line","Story","Emma counts flowers.","Emma counts flowers.","en-GB-MaisieNeural","assets/audio/U3-04-STORY-LINE-04-EMMA-COUNTS-FLOWERS.mp3"
"04-STORY line","Story","Toto counts stars.","Toto counts stars.","en-GB-MaisieNeural","assets/audio/U3-04-STORY-LINE-05-TOTO-COUNTS-STARS.mp3"
"04-STORY line","Story","Emma says, ""Good counting, Toto!""","Emma says, ""Good counting, Toto!""","en-GB-MaisieNeural","assets/audio/U3-04-STORY-LINE-06-EMMA-SAYS-GOOD-COUNTING-TOTO.mp3"
"05-LISTEN whole","Listen","6 — six | 7 — seven | 8 — eight | 9 — nine | 10 — ten","six | seven | eight | nine | ten","section voices","assets/audio/U3-05-LISTEN-WHOLE-LISTEN.mp3"
"05-LISTEN line","Listen","6 — six","six","en-US-AnaNeural","assets/audio/U3-05-LISTEN-LINE-01-6-SIX.mp3"
"05-LISTEN line","Listen","7 — seven","seven","en-US-AnaNeural","assets/audio/U3-05-LISTEN-LINE-02-7-SEVEN.mp3"
"05-LISTEN line","Listen","8 — eight","eight","en-US-AnaNeural","assets/audio/U3-05-LISTEN-LINE-03-8-EIGHT.mp3"
"05-LISTEN line","Listen","9 — nine","nine","en-US-AnaNeural","assets/audio/U3-05-LISTEN-LINE-04-9-NINE.mp3"
"05-LISTEN line","Listen","10 — ten","ten","en-US-AnaNeural","assets/audio/U3-05-LISTEN-LINE-05-10-TEN.mp3"
"06-SAY whole","Say","Six flowers. | Seven stars. | Eight leaves. | Nine balls. | Ten flags.","Six flowers. | Seven stars. | Eight leaves. | Nine balls. | Ten flags.","section voices","assets/audio/U3-06-SAY-WHOLE-SAY.mp3"
"06-SAY line","Say","Six flowers.","Six flowers.","en-US-AnaNeural","assets/audio/U3-06-SAY-LINE-01-SIX-FLOWERS.mp3"
"06-SAY line","Say","Seven stars.","Seven stars.","en-US-AnaNeural","assets/audio/U3-06-SAY-LINE-02-SEVEN-STARS.mp3"
"06-SAY line","Say","Eight leaves.","Eight leaves.","en-US-AnaNeural","assets/audio/U3-06-SAY-LINE-03-EIGHT-LEAVES.mp3"
"06-SAY line","Say","Nine balls.","Nine balls.","en-US-AnaNeural","assets/audio/U3-06-SAY-LINE-04-NINE-BALLS.mp3"
"06-SAY line","Say","Ten flags.","Ten flags.","en-US-AnaNeural","assets/audio/U3-06-SAY-LINE-05-TEN-FLAGS.mp3"
"07-STORY whole","Story","Mia sees flowers on the trail. | Mia asks, ""How many?"" | Leo counts. ""One, two, three."" | Leo says, ""Three flowers."" | Toto looks and listens. | Mia smiles. ""Yes! Three flowers.""","Mia sees flowers on the trail. | Mia asks, ""How many?"" | Leo counts. ""One, two, three."" | Leo says, ""Three flowers."" | Toto looks and listens. | Mia smiles. ""Yes! Three flowers.""","section voices","assets/audio/U3-07-STORY-WHOLE-STORY.mp3"
"07-STORY line","Story","Mia sees flowers on the trail.","Mia sees flowers on the trail.","en-GB-MaisieNeural","assets/audio/U3-07-STORY-LINE-01-MIA-SEES-FLOWERS-ON-THE-TRAIL.mp3"
"07-STORY line","Story","Mia asks, ""How many?""","Mia asks, ""How many?""","en-GB-MaisieNeural","assets/audio/U3-07-STORY-LINE-02-MIA-ASKS-HOW-MANY.mp3"
"07-STORY line","Story","Leo counts. ""One, two, three.""","Leo counts. ""One, two, three.""","en-GB-MaisieNeural","assets/audio/U3-07-STORY-LINE-03-LEO-COUNTS-ONE-TWO-THREE.mp3"
"07-STORY line","Story","Leo says, ""Three flowers.""","Leo says, ""Three flowers.""","en-GB-MaisieNeural","assets/audio/U3-07-STORY-LINE-04-LEO-SAYS-THREE-FLOWERS.mp3"
"07-STORY line","Story","Toto looks and listens.","Toto looks and listens.","en-GB-MaisieNeural","assets/audio/U3-07-STORY-LINE-05-TOTO-LOOKS-AND-LISTENS.mp3"
"07-STORY line","Story","Mia smiles. ""Yes! Three flowers.""","Mia smiles. ""Yes! Three flowers.""","en-GB-MaisieNeural","assets/audio/U3-07-STORY-LINE-06-MIA-SMILES-YES-THREE-FLOWERS.mp3"
"08-LISTEN whole","Listen","How many? | How many stars? | Three stars. | How many books? | Two books.","How many? | How many stars? | Three stars. | How many books? | Two books.","section voices","assets/audio/U3-08-LISTEN-WHOLE-LISTEN.mp3"
"08-LISTEN line","Listen","How many?","How many?","en-US-AnaNeural","assets/audio/U3-08-LISTEN-LINE-01-HOW-MANY.mp3"
"08-LISTEN line","Listen","How many stars?","How many stars?","en-US-AnaNeural","assets/audio/U3-08-LISTEN-LINE-02-HOW-MANY-STARS.mp3"
"08-LISTEN line","Listen","Three stars.","Three stars.","en-US-AnaNeural","assets/audio/U3-08-LISTEN-LINE-03-THREE-STARS.mp3"
"08-LISTEN line","Listen","How many books?","How many books?","en-US-AnaNeural","assets/audio/U3-08-LISTEN-LINE-04-HOW-MANY-BOOKS.mp3"
"08-LISTEN line","Listen","Two books.","Two books.","en-US-AnaNeural","assets/audio/U3-08-LISTEN-LINE-05-TWO-BOOKS.mp3"
"09-SAY whole","Say","How many? | Three flowers. | Five balls. | Seven books. | Ten stars.","How many? | Three flowers. | Five balls. | Seven books. | Ten stars.","section voices","assets/audio/U3-09-SAY-WHOLE-SAY.mp3"
"09-SAY line","Say","How many?","How many?","en-US-AnaNeural","assets/audio/U3-09-SAY-LINE-01-HOW-MANY.mp3"
"09-SAY line","Say","Three flowers.","Three flowers.","en-US-AnaNeural","assets/audio/U3-09-SAY-LINE-02-THREE-FLOWERS.mp3"
"09-SAY line","Say","Five balls.","Five balls.","en-US-AnaNeural","assets/audio/U3-09-SAY-LINE-03-FIVE-BALLS.mp3"
"09-SAY line","Say","Seven books.","Seven books.","en-US-AnaNeural","assets/audio/U3-09-SAY-LINE-04-SEVEN-BOOKS.mp3"
"09-SAY line","Say","Ten stars.","Ten stars.","en-US-AnaNeural","assets/audio/U3-09-SAY-LINE-05-TEN-STARS.mp3"
"10-STORY whole","Story","The trail goes into the trees. | Leo sees a purple sign. ""Eleven!"" | Emma sees a blue sign. ""Twelve!"" | Toto follows the signs. | They count leaves, stars, flowers, stones, and flags. | Emma says, ""We can count more!""","The trail goes into the trees. | Leo sees a purple sign. ""Eleven!"" | Emma sees a blue sign. ""Twelve!"" | Toto follows the signs. | They count leaves, stars, flowers, stones, and flags. | Emma says, ""We can count more!""","section voices","assets/audio/U3-10-STORY-WHOLE-STORY.mp3"
"10-STORY line","Story","The trail goes into the trees.","The trail goes into the trees.","en-GB-MaisieNeural","assets/audio/U3-10-STORY-LINE-01-THE-TRAIL-GOES-INTO-THE-TREES.mp3"
"10-STORY line","Story","Leo sees a purple sign. ""Eleven!""","Leo sees a purple sign. ""Eleven!""","en-GB-MaisieNeural","assets/audio/U3-10-STORY-LINE-02-LEO-SEES-A-PURPLE-SIGN-ELEVEN.mp3"
