field,entry
course,Adventure English World V2
unit_number,9
unit_title,Snack Time
cefr_band,Pre-A1.2
micro_band,Pre-A1.2
learner_age_identity,"Adventure English children, about 7–8 years old"
can_do_goal,I can name simple foods and ask politely.
new_kp,"snack/drink words; I want ..., please.; a/an noticing as fixed chunks only; classroom snack order role-play"
review_kp,greetings; colors as visual support only; numbers only for image context; classroom turn-taking; I like from Unit 5 not required
blocked_kp,restaurant/café menu language; prices/money; would like; Can I have ...?; some/any; health advice; allergies; cooking; paragraph writing
active_vocabulary_target,"10 active words: snack, drink, apple, banana, orange, sandwich, cookie, water, milk, juice"
receptive_vocabulary_target,"cake, bread, tray, card, helper, choose, snack table"
expression_target,"I want ..., please.; Here you are.; Thank you.; Hello."
collocation_target,snack card; snack table; drink choice; snack order
discourse_target,short role-play order: Hello → I want ... please → Here you are → Thank you
register_target,friendly polite classroom language
pronunciation_script_target,word stress and chunk rhythm: I WANT / PLEASE; no script burden
reading_input_target,labels and 1–2 line models only; picture-supported
listening_watch_target,Pre-A1 30–60 second repeated snack-choice script
speaking_output_target,"single words, fixed chunks, and one short role-play line"
writing_output_target,"copy one snack word, one drink word, and optional model line on snack order card"
practice_item_difficulty_mix,"mostly recognition/matching/gap fill, with controlled sentence building and role-play sequence"
watch_practice_focus,"word recognition, simple detail, sequence, polite chunk, project connection"
project_output_requirement,snack order card + short role-play line
ai_feedback_categories,task completion; vocabulary accuracy; polite chunk use; intelligibility; confidence
repair_path,vocabulary picture-word review; a/an chunk repair; polite-word retry; role-play sequence retry
portfolio_evidence,photo of snack order card + short speaking recording
difficulty_audit_result,PASS for content/practice packet; Moodle HTML not built yet
