field,entry
project_title,My Snack Order Role-play
output_type,one snack order card + one short spoken role-play
cefr_kp_target,"Pre-A1.2 polite snack order role-play using I want ..., please."
required_vocabulary,one snack word + one drink word
required_expressions,"Hello.; I want ... and ..., please.; Here you are.; Thank you."
required_discourse_phrases,short role-play order only
speaking_output,one short role-play with helper
writing_output,copy one snack word and one drink word on a card
project_readiness_items_12,AEW2-U009-P-Q01–Q12
portfolio_evidence,photo of snack order card + short speaking recording of the role-play
rubric_link,AEW2_U009_teacher_guide_draft.md#project-rubric
